Time,CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:DENVER-AURORA-BUCKLEY.AFB_CO_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,9.421719E+02,2.367268E+03,4.891261E-02,2.091732E-01,2.241769E+03,1.782563E+03,1.163757E-01,1.575017E-01,1.391961E+03,1.083697E+03,7.225975E-02,9.575146E-02,2.249376E+03,1.767259E+03,1.167705E-01,1.561494E-01,1.391961E+03,1.188180E+03,7.225975E-02,1.049828E-01
00:20:00,9.421730E+02,2.360807E+03,4.891266E-02,2.086023E-01,2.241773E+03,1.769603E+03,1.163758E-01,1.563566E-01,1.391963E+03,1.075262E+03,7.225987E-02,9.500616E-02,2.249379E+03,1.754311E+03,1.167707E-01,1.550055E-01,1.391963E+03,1.175432E+03,7.225987E-02,1.038565E-01
00:30:00,9.421740E+02,2.354529E+03,4.891272E-02,2.080476E-01,2.241776E+03,1.756957E+03,1.163760E-01,1.552392E-01,1.391965E+03,1.067026E+03,7.225997E-02,9.427847E-02,2.249382E+03,1.741702E+03,1.167709E-01,1.538914E-01,1.391965E+03,1.163124E+03,7.225997E-02,1.027691E-01
00:40:00,9.421749E+02,2.348420E+03,4.891277E-02,2.075079E-01,2.241779E+03,1.744616E+03,1.163761E-01,1.541488E-01,1.391967E+03,1.058985E+03,7.226007E-02,9.356804E-02,2.249385E+03,1.729429E+03,1.167710E-01,1.528070E-01,1.391967E+03,1.151244E+03,7.226007E-02,1.017194E-01
00:50:00,9.421759E+02,2.342469E+03,4.891281E-02,2.069821E-01,2.241781E+03,1.732569E+03,1.163763E-01,1.530844E-01,1.391969E+03,1.051142E+03,7.226017E-02,9.287507E-02,2.249388E+03,1.717457E+03,1.167711E-01,1.517492E-01,1.391969E+03,1.139770E+03,7.226017E-02,1.007056E-01
01:00:00,9.421767E+02,2.336665E+03,4.891286E-02,2.064693E-01,2.241784E+03,1.720808E+03,1.163764E-01,1.520452E-01,1.391971E+03,1.043477E+03,7.226026E-02,9.219779E-02,2.249390E+03,1.705800E+03,1.167713E-01,1.507192E-01,1.391971E+03,1.128679E+03,7.226026E-02,9.972569E-02
01:10:00,9.421776E+02,2.330999E+03,4.891290E-02,2.059687E-01,2.241786E+03,1.709396E+03,1.163765E-01,1.510370E-01,1.391972E+03,1.036045E+03,7.226035E-02,9.154116E-02,2.249393E+03,1.694509E+03,1.167714E-01,1.497216E-01,1.391972E+03,1.117997E+03,7.226035E-02,9.878184E-02
01:20:00,9.421784E+02,2.325465E+03,4.891294E-02,2.054797E-01,2.241789E+03,1.698327E+03,1.163767E-01,1.500590E-01,1.391974E+03,1.028835E+03,7.226043E-02,9.090410E-02,2.249395E+03,1.683576E+03,1.167715E-01,1.487556E-01,1.391974E+03,1.107704E+03,7.226043E-02,9.787242E-02
01:30:00,9.421791E+02,2.320058E+03,4.891298E-02,2.050020E-01,2.241791E+03,1.687597E+03,1.163768E-01,1.491109E-01,1.391976E+03,1.021843E+03,7.226051E-02,9.028639E-02,2.249398E+03,1.672996E+03,1.167716E-01,1.478208E-01,1.391976E+03,1.097786E+03,7.226051E-02,9.699612E-02
01:40:00,9.421799E+02,2.314773E+03,4.891302E-02,2.045350E-01,2.241793E+03,1.677204E+03,1.163769E-01,1.481926E-01,1.391977E+03,1.015069E+03,7.226059E-02,8.968788E-02,2.249400E+03,1.662765E+03,1.167718E-01,1.469169E-01,1.391977E+03,1.088229E+03,7.226059E-02,9.615177E-02
01:50:00,9.421806E+02,2.309608E+03,4.891306E-02,2.040787E-01,2.241795E+03,1.667145E+03,1.163770E-01,1.473039E-01,1.391978E+03,1.008512E+03,7.226066E-02,8.910846E-02,2.249402E+03,1.652881E+03,1.167719E-01,1.460436E-01,1.391978E+03,1.079022E+03,7.226066E-02,9.533830E-02
02:00:00,9.421813E+02,2.304560E+03,4.891309E-02,2.036326E-01,2.241797E+03,1.657421E+03,1.163771E-01,1.464447E-01,1.391980E+03,1.002169E+03,7.226073E-02,8.854809E-02,2.249404E+03,1.643342E+03,1.167720E-01,1.452008E-01,1.391980E+03,1.070155E+03,7.226073E-02,9.455480E-02
02:10:00,9.421819E+02,2.299628E+03,4.891313E-02,2.031968E-01,2.241799E+03,1.647962E+03,1.163772E-01,1.456089E-01,1.391981E+03,9.959996E+02,7.226080E-02,8.800297E-02,2.249406E+03,1.634077E+03,1.167721E-01,1.443822E-01,1.391981E+03,1.061575E+03,7.226080E-02,9.379677E-02
02:20:00,9.421825E+02,2.294809E+03,4.891316E-02,2.027711E-01,2.241801E+03,1.638765E+03,1.163773E-01,1.447964E-01,1.391982E+03,9.900016E+02,7.226086E-02,8.747303E-02,2.249408E+03,1.625082E+03,1.167722E-01,1.435874E-01,1.391982E+03,1.053274E+03,7.226086E-02,9.306336E-02
02:30:00,9.421832E+02,2.290101E+03,4.891319E-02,2.023551E-01,2.241803E+03,1.629827E+03,1.163774E-01,1.440067E-01,1.391984E+03,9.841733E+02,7.226093E-02,8.695808E-02,2.249409E+03,1.616352E+03,1.167723E-01,1.428161E-01,1.391984E+03,1.045243E+03,7.226093E-02,9.235374E-02
02:40:00,9.421837E+02,2.285503E+03,4.891322E-02,2.019488E-01,2.241805E+03,1.621146E+03,1.163775E-01,1.432397E-01,1.391985E+03,9.785127E+02,7.226099E-02,8.645794E-02,2.249411E+03,1.607885E+03,1.167724E-01,1.420680E-01,1.391985E+03,1.037472E+03,7.226099E-02,9.166716E-02
