Time,CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:BUFFALO.NIAGARA.INTL.AP_NY_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,8.849077E+02,2.350051E+03,4.593975E-02,2.076487E-01,2.010394E+03,1.812178E+03,1.043594E-01,1.601303E-01,1.306862E+03,1.096076E+03,6.783856E-02,9.685326E-02,2.140589E+03,1.786766E+03,1.111178E-01,1.578849E-01,1.304838E+03,1.185431E+03,6.773345E-02,1.047485E-01
00:20:00,8.849100E+02,2.345242E+03,4.593987E-02,2.072238E-01,2.010401E+03,1.802868E+03,1.043598E-01,1.593076E-01,1.306867E+03,1.089717E+03,6.783880E-02,9.629142E-02,2.140596E+03,1.777140E+03,1.111182E-01,1.570343E-01,1.304842E+03,1.175597E+03,6.773369E-02,1.038796E-01
00:30:00,8.849121E+02,2.340585E+03,4.593998E-02,2.068123E-01,2.010408E+03,1.793833E+03,1.043601E-01,1.585093E-01,1.306871E+03,1.083542E+03,6.783902E-02,9.574579E-02,2.140603E+03,1.767813E+03,1.111185E-01,1.562102E-01,1.304846E+03,1.166162E+03,6.773391E-02,1.030460E-01
00:40:00,8.849141E+02,2.336068E+03,4.594009E-02,2.064132E-01,2.010414E+03,1.785057E+03,1.043604E-01,1.577339E-01,1.306875E+03,1.077542E+03,6.783923E-02,9.521560E-02,2.140609E+03,1.758766E+03,1.111188E-01,1.554108E-01,1.304850E+03,1.157098E+03,6.773412E-02,1.022451E-01
00:50:00,8.849161E+02,2.331680E+03,4.594019E-02,2.060256E-01,2.010420E+03,1.776529E+03,1.043608E-01,1.569804E-01,1.306879E+03,1.071708E+03,6.783942E-02,9.470012E-02,2.140615E+03,1.749980E+03,1.111191E-01,1.546344E-01,1.304854E+03,1.148378E+03,6.773432E-02,1.014746E-01
01:00:00,8.849179E+02,2.327413E+03,4.594028E-02,2.056486E-01,2.010425E+03,1.768237E+03,1.043610E-01,1.562477E-01,1.306883E+03,1.066033E+03,6.783961E-02,9.419873E-02,2.140620E+03,1.741442E+03,1.111194E-01,1.538801E-01,1.304858E+03,1.139981E+03,6.773451E-02,1.007327E-01
01:10:00,8.849197E+02,2.323260E+03,4.594037E-02,2.052816E-01,2.010430E+03,1.760219E+03,1.043613E-01,1.555392E-01,1.306886E+03,1.060545E+03,6.783979E-02,9.371376E-02,2.140625E+03,1.733198E+03,1.111197E-01,1.531517E-01,1.304861E+03,1.131918E+03,6.773469E-02,1.000202E-01
01:20:00,8.849213E+02,2.319213E+03,4.594046E-02,2.049240E-01,2.010436E+03,1.752467E+03,1.043616E-01,1.548543E-01,1.306889E+03,1.055236E+03,6.783996E-02,9.324470E-02,2.140630E+03,1.725240E+03,1.111199E-01,1.524485E-01,1.304865E+03,1.124172E+03,6.773486E-02,9.933580E-02
01:30:00,8.849230E+02,2.315266E+03,4.594054E-02,2.045754E-01,2.010440E+03,1.744975E+03,1.043618E-01,1.541923E-01,1.306893E+03,1.050104E+03,6.784012E-02,9.279117E-02,2.140635E+03,1.717560E+03,1.111202E-01,1.517699E-01,1.304868E+03,1.116727E+03,6.773502E-02,9.867795E-02
01:40:00,8.849245E+02,2.311417E+03,4.594063E-02,2.042352E-01,2.010445E+03,1.737735E+03,1.043621E-01,1.535526E-01,1.306896E+03,1.045143E+03,6.784028E-02,9.235283E-02,2.140639E+03,1.710152E+03,1.111204E-01,1.511152E-01,1.304871E+03,1.109569E+03,6.773518E-02,9.804550E-02
