Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  01:00:00,7933366.141521372,7933366.141521372,31822253.12989278 
 01/21  02:00:00,7232719.062299251,7232719.062299251,26836959.567589016 
 01/21  03:00:00,8017993.549777875,8017993.549777875,31257169.702274316 
 01/21  04:00:00,7232719.062299251,7232719.062299251,26877372.660034278 
 01/21  05:00:00,8017993.549777875,8017993.549777875,31280159.23888348 
 01/21  06:00:00,7232719.062299251,7232719.062299251,26887541.67772495 
 01/21  07:00:00,9209593.549777875,9209593.549777873,31286452.86118541 
 01/21  08:00:00,6437384.164819618,6437384.164819617,21349852.852308215 
 01/21  09:00:00,6697290.874219335,6697290.874219335,23759015.348907934 
 01/21  10:00:00,6067572.999529926,6067572.999529926,21323220.27932103 
 01/21  11:00:00,6698231.99590297,6698231.9959029699,23692043.387385094 
 01/21  12:00:00,6069142.905965387,6069142.905965386,21311493.492155706 
 01/21  13:00:00,6701482.3294500219,6701482.3294500219,23732821.452225765 
 01/21  14:00:00,6070612.500660599,6070612.500660598,21337147.24814353 
 01/21  15:00:00,6704017.981574588,6704017.981574588,23686294.401296613 
 01/21  16:00:00,6071695.879300591,6071695.879300591,21282355.414404084 
 01/21  17:00:00,7439434.621616084,7439434.621616084,23695653.036845939 
 01/21  18:00:00,8273162.761908751,8273162.76190875,21268716.629414187 
 01/21  19:00:00,9195488.9817974,9195488.9817974,30346507.54654266 
 01/21  20:00:00,7622419.062361528,7622419.062361528,26772335.10682632 
 01/21  21:00:00,8407693.549840153,8407693.549840153,31241622.858378933 
 01/21  22:00:00,7622419.062361528,7622419.062361528,26882536.995981628 
 01/21  23:00:00,8407693.549777875,8407693.549777875,31275548.106447214 
 01/21  24:00:00,7622419.062299251,7622419.062299251,26888524.62419321 
 07/21  01:00:00,39936281.61292556,39936281.61292555,0.0 
 07/21  02:00:00,38617916.49863628,38617916.49863628,0.0 
 07/21  03:00:00,39897213.77359854,39897213.77359854,0.0 
 07/21  04:00:00,38385188.08924716,38385188.08924716,0.0 
 07/21  05:00:00,39214377.538283,39214377.53828299,0.0 
 07/21  06:00:00,36857980.2448371,36857980.2448371,0.0 
 07/21  07:00:00,43278227.7760455,43278227.7760455,0.0 
 07/21  08:00:00,43683291.562272768,43683291.56227276,0.0 
 07/21  09:00:00,44948061.64294148,44948061.64294148,0.0 
 07/21  10:00:00,45769309.30566486,45769309.30566486,0.0 
 07/21  11:00:00,46447482.449280429,46447482.449280429,0.0 
 07/21  12:00:00,47117289.26973176,47117289.26973175,0.0 
 07/21  13:00:00,47726415.73696931,47726415.7369693,0.0 
 07/21  14:00:00,48218046.74671599,48218046.746715988,0.0 
 07/21  15:00:00,48721604.24560582,48721604.245605807,0.0 
 07/21  16:00:00,48628606.217012617,48628606.217012617,0.0 
 07/21  17:00:00,48453603.48583348,48453603.48583347,0.0 
 07/21  18:00:00,48117563.48637747,48117563.48637747,0.0 
 07/21  19:00:00,48249493.254912968,48249493.25491296,0.0 
 07/21  20:00:00,43631452.65532125,43631452.65532124,0.0 
 07/21  21:00:00,41188098.59605624,41188098.59605624,0.0 
 07/21  22:00:00,42398255.13716769,42398255.13716769,0.0 
 07/21  23:00:00,39720148.88121503,39720148.88121503,0.0 
 07/21  24:00:00,40961490.80609976,40961490.80609976,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  07:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  08:00:00,6128818.596677196,6128818.596677195,0.0 
 01/01  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  17:00:00,6862378.596677196,6862378.596677195,0.0 
 01/01  18:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  19:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/02  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  07:00:00,34242684.04575102,34242684.04575101,12629746.093676199 
 01/02  08:00:00,38145400.09435431,38145400.09435431,10761121.115033811 
 01/02  09:00:00,41175502.006054747,41175502.006054747,0.0 
 01/02  10:00:00,37496999.61050887,37496999.61050886,0.0 
 01/02  11:00:00,34881595.03231343,34881595.03231342,0.0 
 01/02  12:00:00,32312659.167905086,32312659.16790508,0.0 
 01/02  13:00:00,33009960.037556944,33009960.03755694,0.0 
 01/02  14:00:00,32223844.01345348,32223844.013453477,0.0 
 01/02  15:00:00,33117240.826507465,33117240.826507458,0.0 
 01/02  16:00:00,33621841.85235779,33621841.85235778,0.0 
 01/02  17:00:00,35450622.33042656,35450622.33042655,0.0 
 01/02  18:00:00,35989741.561403799,35989741.561403799,1842485.8096992649 
 01/02  19:00:00,30922902.23551193,30922902.235511926,0.0 
 01/02  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/02  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/02  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/03  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  07:00:00,30808957.97529437,30808957.975294375,6200909.363352631 
 01/03  08:00:00,37240634.63277353,37240634.63277353,10289260.059696025 
 01/03  09:00:00,40288180.10691506,40288180.10691505,0.0 
 01/03  10:00:00,37842866.851587269,37842866.85158725,17891.254694774205 
 01/03  11:00:00,35963132.786566447,35963132.78656643,0.0 
 01/03  12:00:00,34499253.41312119,34499253.413121189,0.0 
 01/03  13:00:00,36736322.77664353,36736322.77664352,1689152.1920690395 
 01/03  14:00:00,32954120.514568386,32954120.514568379,0.0 
 01/03  15:00:00,32775968.41093036,32775968.41093035,0.0 
 01/03  16:00:00,33392073.14481473,33392073.144814727,0.0 
 01/03  17:00:00,35764844.61842958,35764844.61842957,0.0 
 01/03  18:00:00,35383951.592922929,35383951.59292291,4013952.956693577 
 01/03  19:00:00,30961212.315698789,30961212.31569878,0.0 
 01/03  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/03  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/03  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/03  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/04  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/04  07:00:00,31487543.36458831,31487543.36458831,7052175.204037909 
