Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.329984E+03,2.486716E-01,2.670971E+03,4.022638E+03,1.610967E-01,5.223380E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.008214E+03,1.879870E-01,2.018881E+03,3.168014E+03,1.008433E-01,3.198795E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,5.980857E+02,1.138012E-01,1.223081E+03,1.916155E+03,1.622917E-01,5.246066E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.008214E+03,1.859726E-01,1.996436E+03,3.142621E+03,1.011102E-01,3.203861E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,5.980857E+02,1.233102E-01,1.329035E+03,2.033389E+03
00:20:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.337085E+03,2.481390E-01,2.657936E+03,4.009100E+03,1.610971E-01,5.223388E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.013597E+03,1.868875E-01,2.001247E+03,3.148919E+03,1.008436E-01,3.198800E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.012789E+02,1.130682E-01,1.211721E+03,1.903803E+03,1.622921E-01,5.246073E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.013597E+03,1.848716E-01,1.978785E+03,3.123499E+03,1.011104E-01,3.203866E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.012789E+02,1.222038E-01,1.313514E+03,2.016579E+03
00:30:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.344186E+03,2.476226E-01,2.645080E+03,3.995747E+03,1.610975E-01,5.223395E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.018980E+03,1.858206E-01,1.983976E+03,3.130207E+03,1.008438E-01,3.198805E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.044721E+02,1.123575E-01,1.200609E+03,1.891715E+03,1.622924E-01,5.246080E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.018980E+03,1.838037E-01,1.961503E+03,3.104762E+03,1.011107E-01,3.203871E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.044721E+02,1.211413E-01,1.298481E+03,2.000285E+03
00:40:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.351287E+03,2.471209E-01,2.632389E+03,3.982563E+03,1.610978E-01,5.223402E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.024363E+03,1.847852E-01,1.967057E+03,3.111873E+03,1.008440E-01,3.198809E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.076653E+02,1.116670E-01,1.189722E+03,1.879865E+03,1.622928E-01,5.246087E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.024363E+03,1.827661E-01,1.944559E+03,3.086382E+03,1.011109E-01,3.203876E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.076653E+02,1.201197E-01,1.283906E+03,1.984475E+03
00:50:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.358388E+03,2.466330E-01,2.619851E+03,3.969539E+03,1.610981E-01,5.223408E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.029746E+03,1.837811E-01,1.950486E+03,3.093916E+03,1.008443E-01,3.198814E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.108584E+02,1.109951E-01,1.179043E+03,1.868236E+03,1.622931E-01,5.246094E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.029746E+03,1.817561E-01,1.927923E+03,3.068329E+03,1.011111E-01,3.203880E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.108584E+02,1.191365E-01,1.269758E+03,1.969121E+03
01:00:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.365488E+03,2.461578E-01,2.607456E+03,3.956661E+03,1.610985E-01,5.223415E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.035129E+03,1.828057E-01,1.934234E+03,3.076304E+03,1.008445E-01,3.198818E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.140516E+02,1.103407E-01,1.168558E+03,1.856817E+03,1.622935E-01,5.246100E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.035129E+03,1.807730E-01,1.911586E+03,3.050601E+03,1.011114E-01,3.203884E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.140516E+02,1.181895E-01,1.256013E+03,1.954199E+03
01:10:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.370222E+03,2.456947E-01,2.597562E+03,3.946333E+03,1.610988E-01,5.223420E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.038717E+03,1.818627E-01,1.920139E+03,3.060930E+03,1.008447E-01,3.198822E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.161804E+02,1.097068E-01,1.159366E+03,1.846744E+03,1.622938E-01,5.246106E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.038717E+03,1.798191E-01,1.897369E+03,3.035068E+03,1.011116E-01,3.203888E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.161804E+02,1.172806E-01,1.243756E+03,1.940829E+03
01:20:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.374956E+03,2.452429E-01,2.587794E+03,3.936138E+03,1.610991E-01,5.223426E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.042306E+03,1.809508E-01,1.906389E+03,3.045934E+03,1.008449E-01,3.198826E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.183092E+02,1.090921E-01,1.150389E+03,1.836904E+03,1.622941E-01,5.246111E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.042306E+03,1.788959E-01,1.883495E+03,3.019907E+03,1.011118E-01,3.203892E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.183092E+02,1.164082E-01,1.231906E+03,1.927897E+03
01:30:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.379690E+03,2.448020E-01,2.578146E+03,3.926068E+03,1.610994E-01,5.223431E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.045894E+03,1.800688E-01,1.892973E+03,3.031294E+03,1.008451E-01,3.198829E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.204380E+02,1.084959E-01,1.141617E+03,1.827279E+03,1.622943E-01,5.246117E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.045894E+03,1.780039E-01,1.869967E+03,3.005118E+03,1.011120E-01,3.203896E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.204380E+02,1.155712E-01,1.220452E+03,1.915387E+03
01:40:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.384424E+03,2.443715E-01,2.568616E+03,3.916120E+03,1.610996E-01,5.223437E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.049483E+03,1.792151E-01,1.879873E+03,3.016995E+03,1.008453E-01,3.198833E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.225668E+02,1.079186E-01,1.133056E+03,1.817883E+03,1.622946E-01,5.246122E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.049483E+03,1.771427E-01,1.856783E+03,2.990702E+03,1.011121E-01,3.203899E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.225668E+02,1.147674E-01,1.209367E+03,1.903273E+03
