Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 01/21  01:00:00,7924126.00565505,7924126.00565505,40677220.43107523 
 01/21  02:00:00,7627266.341766913,7627266.341766913,33803568.44062329 
 01/21  03:00:00,8158075.308437213,8158075.308437213,41190646.92813944 
 01/21  04:00:00,7627266.341766913,7627266.341766913,33934538.51775529 
 01/21  05:00:00,8158075.308437213,8158075.308437213,41257642.08259705 
 01/21  06:00:00,7627266.341766913,7627266.341766913,33958999.53898454 
 01/21  07:00:00,9349675.308437214,9349675.308437214,41274275.656331989 
 01/21  08:00:00,6984966.34182919,6984966.34182919,28333957.109167696 
 01/21  09:00:00,7148995.308499491,7148995.308499489,33621066.10454068 
 01/21  10:00:00,6618186.34182919,6618186.34182919,28210201.52400884 
 01/21  11:00:00,7148995.308499491,7148995.308499489,33525178.299456076 
 01/21  12:00:00,6618186.34182919,6618186.34182919,28201411.890720238 
 01/21  13:00:00,7148995.308499491,7148995.308499489,33555655.99440476 
 01/21  14:00:00,6618186.34182919,6618186.34182919,28223291.395350487 
 01/21  15:00:00,7148995.308499491,7148995.308499489,33489502.953702466 
 01/21  16:00:00,6618186.34182919,6618186.34182919,28162547.28426482 
 01/21  17:00:00,7882555.308499491,7882555.308499489,33510648.387585518 
 01/21  18:00:00,8818866.34182919,8818866.34182919,28138003.57051413 
 01/21  19:00:00,9349675.308499489,9349675.308499489,40307356.77568774 
 01/21  20:00:00,8016966.34182919,8016966.34182919,33846324.150054957 
 01/21  21:00:00,8547775.30849949,8547775.308499489,41219558.94458407 
 01/21  22:00:00,8016966.34182919,8016966.34182919,33955036.62615224 
 01/21  23:00:00,8547775.308437214,8547775.308437214,41252323.858076747 
 01/21  24:00:00,8016966.341766913,8016966.341766913,33964551.3287337 
 07/21  01:00:00,39921501.54555096,39921501.54555095,0.0 
 07/21  02:00:00,38583722.83709224,38583722.837092239,0.0 
 07/21  03:00:00,39812033.115305948,39812033.115305948,0.0 
 07/21  04:00:00,38318026.247601848,38318026.24760184,0.0 
 07/21  05:00:00,39035653.72688648,39035653.72688648,0.0 
 07/21  06:00:00,36710108.05974686,36710108.05974687,0.0 
 07/21  07:00:00,43564060.30655503,43564060.306555029,0.0 
 07/21  08:00:00,44041734.5084681,44041734.5084681,0.0 
 07/21  09:00:00,45140546.42503506,45140546.42503505,0.0 
 07/21  10:00:00,46437991.57081288,46437991.57081288,0.0 
 07/21  11:00:00,47249646.39024366,47249646.39024366,0.0 
 07/21  12:00:00,47837110.75051968,47837110.75051968,0.0 
 07/21  13:00:00,48489618.10069725,48489618.10069724,0.0 
 07/21  14:00:00,49172732.20238668,49172732.20238667,0.0 
 07/21  15:00:00,49489438.85376542,49489438.85376541,0.0 
 07/21  16:00:00,49408016.46227471,49408016.4622747,0.0 
 07/21  17:00:00,49152598.150659147,49152598.150659147,0.0 
 07/21  18:00:00,48823141.04640267,48823141.046402659,0.0 
 07/21  19:00:00,48846681.713824909,48846681.7138249,0.0 
 07/21  20:00:00,43813781.72721586,43813781.72721586,0.0 
 07/21  21:00:00,41278949.36429924,41278949.36429924,0.0 
 07/21  22:00:00,43011928.79252846,43011928.79252846,0.0 
 07/21  23:00:00,39774040.43245201,39774040.432452,0.0 
 07/21  24:00:00,40959590.529873389,40959590.529873389,0.0 
 01/01  01:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  02:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  03:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  04:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  05:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  06:00:00,6404338.596677196,6404338.596677196,0.0 
 01/01  07:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  08:00:00,6475317.458879041,6475317.458879041,0.0 
 01/01  09:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  10:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  11:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  12:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  13:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  14:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  15:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  16:00:00,5395258.596677196,5395258.596677196,0.0 
 01/01  17:00:00,6862378.596677196,6862378.596677195,0.0 
 01/01  18:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  19:00:00,7595938.596677196,7595938.596677195,0.0 
 01/01  20:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  21:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  22:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  23:00:00,6794038.596677196,6794038.596677196,0.0 
 01/01  24:00:00,6794038.596677196,6794038.596677196,0.0 
 01/02  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  02:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  03:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  04:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  05:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  06:00:00,9469604.825749658,9469604.825749658,0.0 
 01/02  07:00:00,37349861.31379828,37349861.31379828,16900955.221211766 
 01/02  08:00:00,40204553.892825838,40204553.892825838,13558209.234043502 
 01/02  09:00:00,43639951.93901019,43639951.93901019,0.0 
 01/02  10:00:00,39578593.92570762,39578593.925707619,0.0 
 01/02  11:00:00,36604181.92475603,36604181.92475602,0.0 
 01/02  12:00:00,33561228.79227393,33561228.79227393,0.0 
 01/02  13:00:00,34213296.18266272,34213296.18266271,0.0 
 01/02  14:00:00,33710265.8710466,33710265.871046598,0.0 
 01/02  15:00:00,34737296.97298938,34737296.97298937,0.0 
 01/02  16:00:00,35274870.80397801,35274870.803978,0.0 
 01/02  17:00:00,37132333.609614,37132333.609614,0.0 
 01/02  18:00:00,37835552.14736508,37835552.14736506,1958532.0020638507 
 01/02  19:00:00,32817989.698327874,32817989.698327874,57533.829214641824 
 01/02  20:00:00,11853154.258345897,11853154.258345895,0.0 
 01/02  21:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  22:00:00,10637784.395628443,10637784.395628443,0.0 
 01/02  23:00:00,9543951.519120457,9543951.519120455,0.0 
 01/02  24:00:00,7197449.08321209,7197449.08321209,0.0 
 01/03  01:00:00,9469604.825749658,9469604.825749658,0.0 
 01/03  02:00:00,9469604.825749658,9469604.825749658,0.0 
