Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.329984E+03,2.489181E-01,2.673718E+03,4.025441E+03,1.898713E-01,5.769625E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.008214E+03,1.864176E-01,2.001396E+03,3.147625E+03,1.161169E-01,3.488744E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,5.980857E+02,1.127411E-01,1.211271E+03,1.902454E+03,1.855822E-01,5.688203E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.008214E+03,1.846234E-01,1.981405E+03,3.125020E+03,1.170430E-01,3.506325E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,5.980857E+02,1.227003E-01,1.322239E+03,2.025490E+03
00:20:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.337085E+03,2.483493E-01,2.660279E+03,4.011472E+03,1.898717E-01,5.769632E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.013597E+03,1.851462E-01,1.981847E+03,3.126337E+03,1.161171E-01,3.488749E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.012789E+02,1.119129E-01,1.198850E+03,1.888880E+03,1.855826E-01,5.688210E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.013597E+03,1.833711E-01,1.962069E+03,3.103969E+03,1.170432E-01,3.506330E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.012789E+02,1.214919E-01,1.305582E+03,2.007394E+03
00:30:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.344186E+03,2.477975E-01,2.647029E+03,3.997698E+03,1.898720E-01,5.769639E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.018980E+03,1.839079E-01,1.962667E+03,3.105436E+03,1.161174E-01,3.488754E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.044721E+02,1.111065E-01,1.186673E+03,1.875562E+03,1.855830E-01,5.688217E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.018980E+03,1.821545E-01,1.943131E+03,3.083337E+03,1.170435E-01,3.506335E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.044721E+02,1.203281E-01,1.289422E+03,1.989820E+03
00:40:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.351287E+03,2.472612E-01,2.633953E+03,3.984103E+03,1.898724E-01,5.769645E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.024363E+03,1.827014E-01,1.943841E+03,3.084909E+03,1.161176E-01,3.488758E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.076653E+02,1.103212E-01,1.174729E+03,1.862491E+03,1.855833E-01,5.688223E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.024363E+03,1.809715E-01,1.924567E+03,3.063100E+03,1.170437E-01,3.506339E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.076653E+02,1.192062E-01,1.273729E+03,1.972738E+03
00:50:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.358388E+03,2.467396E-01,2.621039E+03,3.970676E+03,1.898727E-01,5.769652E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.029746E+03,1.815255E-01,1.925357E+03,3.064747E+03,1.161178E-01,3.488762E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.108584E+02,1.095561E-01,1.163011E+03,1.849662E+03,1.855836E-01,5.688230E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.029746E+03,1.798203E-01,1.906356E+03,3.043240E+03,1.170439E-01,3.506344E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.108584E+02,1.181236E-01,1.258473E+03,1.956120E+03
01:00:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.365488E+03,2.462315E-01,2.608277E+03,3.957405E+03,1.898730E-01,5.769658E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.035129E+03,1.803793E-01,1.907202E+03,3.044941E+03,1.161180E-01,3.488766E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.140516E+02,1.088106E-01,1.151511E+03,1.837069E+03,1.855839E-01,5.688236E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.035129E+03,1.787002E-01,1.888493E+03,3.023754E+03,1.170442E-01,3.506348E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.140516E+02,1.170780E-01,1.243629E+03,1.939941E+03
01:10:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.370222E+03,2.457362E-01,2.598025E+03,3.946694E+03,1.898733E-01,5.769663E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.038717E+03,1.792701E-01,1.891255E+03,3.027439E+03,1.161182E-01,3.488770E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.161804E+02,1.080892E-01,1.141345E+03,1.825869E+03,1.855842E-01,5.688241E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.038717E+03,1.776181E-01,1.872848E+03,3.006583E+03,1.170444E-01,3.506351E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.161804E+02,1.160725E-01,1.230297E+03,1.925342E+03
01:20:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.374956E+03,2.452531E-01,2.587907E+03,3.936125E+03,1.898736E-01,5.769669E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.042306E+03,1.781977E-01,1.875717E+03,3.010385E+03,1.161184E-01,3.488774E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.183092E+02,1.073916E-01,1.131443E+03,1.814958E+03,1.855845E-01,5.688247E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.042306E+03,1.765736E-01,1.857621E+03,2.989871E+03,1.170445E-01,3.506355E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.183092E+02,1.151055E-01,1.217393E+03,1.911203E+03
01:30:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.379690E+03,2.447816E-01,2.577919E+03,3.925690E+03,1.898739E-01,5.769674E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.045894E+03,1.771615E-01,1.860583E+03,2.993765E+03,1.161186E-01,3.488777E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.204380E+02,1.067174E-01,1.121803E+03,1.804329E+03,1.855848E-01,5.688252E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.045894E+03,1.755659E-01,1.842805E+03,2.973600E+03,1.170447E-01,3.506359E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.204380E+02,1.141755E-01,1.204902E+03,1.897503E+03
01:40:00,7.598334E-02,4.298647E+03,7.598334E-02,0.000000E+00,0.000000E+00,7.598334E-02,1.384424E+03,2.443212E-01,2.568056E+03,3.915386E+03,1.898742E-01,5.769679E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.049483E+03,1.761613E-01,1.845850E+03,2.977581E+03,1.161188E-01,3.488781E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.225668E+02,1.060665E-01,1.112421E+03,1.793980E+03,1.855851E-01,5.688257E+03,5.760030E-02,0.000000E+00,0.000000E+00,5.760030E-02,1.049483E+03,1.745946E-01,1.828394E+03,2.957772E+03,1.170449E-01,3.506362E+03,3.416924E-02,0.000000E+00,0.000000E+00,3.416924E-02,6.225668E+02,1.132813E-01,1.192810E+03,1.884229E+03
