Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,16121306.334168133,16121306.334168133,1786039.6330921525 
 12/21  02:00:00,15950274.203477808,15950274.203477808,1483877.1871086604 
 12/21  03:00:00,15911528.427053554,15911528.427053556,2688144.0988248756 
 12/21  04:00:00,15673467.126104698,15673467.126104696,1491563.6443175723 
 12/21  05:00:00,16229152.113805863,16229152.113805863,2942593.7141242946 
 12/21  06:00:00,15414916.602317879,15414916.602317879,1459631.5204620194 
 12/21  07:00:00,17384538.576027015,17384538.576027015,2904133.22867937 
 12/21  08:00:00,15579655.194770875,15579655.194770873,511570.9464815001 
 12/21  09:00:00,15661889.77897064,15661889.77897064,991778.5820591962 
 12/21  10:00:00,14796226.961776993,14796226.961776993,490002.05278268686 
 12/21  11:00:00,15645667.103555384,15645667.103555384,976590.7663385484 
 12/21  12:00:00,14786032.976780273,14786032.976780272,489841.5271150627 
 12/21  13:00:00,15643370.079896467,15643370.079896467,986490.4819866351 
 12/21  14:00:00,14788104.229379546,14788104.229379544,495713.8132818853 
 12/21  15:00:00,15638796.488879797,15638796.488879797,989486.6610521677 
 12/21  16:00:00,14781553.362541672,14781553.362541674,493792.6377613876 
 12/21  17:00:00,15637482.064954637,15637482.064954635,990099.1199464894 
 12/21  18:00:00,16611137.089221107,16611137.089221107,492592.4536485171 
 12/21  19:00:00,16637701.846782074,16637701.846782072,2521897.7872518685 
 12/21  20:00:00,15530526.753289368,15530526.753289367,1474955.4494691962 
 12/21  21:00:00,16608418.806707278,16608418.806707278,2959851.5556638578 
 12/21  22:00:00,15788916.339436107,15788916.339436107,1462996.9076535626 
 12/21  23:00:00,16567681.670752613,16567681.670752613,2908199.45170519 
 12/21  24:00:00,15764956.77821967,15764956.77821967,1447202.164913672 
 07/21  01:00:00,42410997.34776958,42410997.34776959,0.0 
 07/21  02:00:00,40491544.53999191,40491544.53999191,0.0 
 07/21  03:00:00,42084401.10718113,42084401.10718113,0.0 
 07/21  04:00:00,40112578.596660587,40112578.596660587,0.0 
 07/21  05:00:00,43560093.98987999,43560093.98987998,0.0 
 07/21  06:00:00,40026516.82148444,40026516.82148443,0.0 
 07/21  07:00:00,46929279.62867355,46929279.62867355,0.0 
 07/21  08:00:00,46489838.419271398,46489838.419271398,0.0 
 07/21  09:00:00,47970791.168320309,47970791.1683203,0.0 
 07/21  10:00:00,49816250.60419614,49816250.604196149,0.0 
 07/21  11:00:00,51463026.27373932,51463026.27373933,0.0 
 07/21  12:00:00,52751826.77382968,52751826.77382968,0.0 
 07/21  13:00:00,53946949.57530081,53946949.57530081,0.0 
 07/21  14:00:00,54697735.28798528,54697735.28798529,0.0 
 07/21  15:00:00,55064808.57260491,55064808.57260491,0.0 
 07/21  16:00:00,55378505.102602038,55378505.102602038,0.0 
 07/21  17:00:00,54995734.59689994,54995734.596899967,0.0 
 07/21  18:00:00,54190405.75938932,54190405.75938932,0.0 
 07/21  19:00:00,53419067.20469071,53419067.20469071,0.0 
 07/21  20:00:00,47818998.71708138,47818998.71708138,0.0 
 07/21  21:00:00,44728772.5468418,44728772.5468418,0.0 
 07/21  22:00:00,46811119.33134727,46811119.331347268,0.0 
 07/21  23:00:00,42298999.94806793,42298999.94806793,0.0 
 07/21  24:00:00,43719277.75423198,43719277.75423198,0.0 
 01/01  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  06:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  07:00:00,6695938.596677196,6695938.596677196,0.0 
 01/01  08:00:00,5595598.596677196,5595598.596677196,0.0 
 01/01  09:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  10:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  11:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  12:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  13:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  14:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  15:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  16:00:00,4495258.596677196,4495258.596677196,0.0 
 01/01  17:00:00,4495258.596677196,4495258.596677197,0.0 
 01/01  18:00:00,5962378.596677196,5962378.596677196,0.0 
 01/01  19:00:00,6695938.596677196,6695938.596677196,0.0 
 01/01  20:00:00,5894038.596677196,5894038.596677195,0.0 
 01/01  21:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  22:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  23:00:00,5894038.596677196,5894038.596677196,0.0 
 01/01  24:00:00,5894038.596677196,5894038.596677196,0.0 
 01/02  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/02  07:00:00,18711405.74126311,18711405.741263108,0.0 
 01/02  08:00:00,21101628.829195937,21101628.829195937,0.0 
 01/02  09:00:00,30071117.457365157,30071117.45736516,0.0 
 01/02  10:00:00,29391178.840036144,29391178.840036144,0.0 
 01/02  11:00:00,30008166.54647755,30008166.54647755,0.0 
 01/02  12:00:00,30822163.648605236,30822163.648605236,0.0 
 01/02  13:00:00,28173136.815137,28173136.815137,0.0 
 01/02  14:00:00,31683747.246756838,31683747.24675684,0.0 
 01/02  15:00:00,32297513.00113968,32297513.001139687,0.0 
 01/02  16:00:00,32805702.075121639,32805702.075121635,0.0 
 01/02  17:00:00,33054238.14426116,33054238.14426116,0.0 
 01/02  18:00:00,23020730.6038239,23020730.6038239,0.0 
 01/02  19:00:00,17431477.560530727,17431477.560530727,0.0 
 01/02  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/02  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/02  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/02  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/02  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/03  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/03  07:00:00,18394590.882887938,18394590.882887938,0.0 
 01/03  08:00:00,21610989.566384134,21610989.56638413,0.0 
 01/03  09:00:00,29764140.03550846,29764140.035508466,0.0 
 01/03  10:00:00,29573549.68899744,29573549.68899745,0.0 
 01/03  11:00:00,30393200.737631248,30393200.737631248,0.0 
 01/03  12:00:00,31212900.08909312,31212900.08909312,0.0 
 01/03  13:00:00,28466841.52195869,28466841.521958688,0.0 
 01/03  14:00:00,31836677.106122778,31836677.10612278,0.0 
 01/03  15:00:00,32374186.909314436,32374186.909314448,0.0 
 01/03  16:00:00,32634741.64309624,32634741.643096243,0.0 
 01/03  17:00:00,33232372.509872699,33232372.509872699,0.0 
 01/03  18:00:00,23259576.64499121,23259576.644991209,0.0 
 01/03  19:00:00,17431477.560530727,17431477.560530727,0.0 
 01/03  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/03  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/03  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/03  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/03  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/04  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/04  07:00:00,19229153.459095815,19229153.459095815,0.0 
 01/04  08:00:00,22783433.708938846,22783433.708938846,0.0 
 01/04  09:00:00,29686905.968155654,29686905.968155654,0.0 
 01/04  10:00:00,29654135.7787546,29654135.778754604,0.0 
 01/04  11:00:00,30413486.161125397,30413486.16112539,0.0 
 01/04  12:00:00,31219703.029172869,31219703.029172876,0.0 
 01/04  13:00:00,29082138.915636388,29082138.915636388,0.0 
 01/04  14:00:00,33409389.743010194,33409389.743010194,0.0 
 01/04  15:00:00,34314892.55865477,34314892.55865476,0.0 
 01/04  16:00:00,34891237.48297047,34891237.482970479,0.0 
 01/04  17:00:00,34925955.11640222,34925955.11640222,0.0 
 01/04  18:00:00,23920256.064398137,23920256.064398134,0.0 
 01/04  19:00:00,17431477.560530727,17431477.560530727,0.0 
 01/04  20:00:00,10953154.258345897,10953154.258345895,0.0 
 01/04  21:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  22:00:00,9737784.395628443,9737784.395628443,0.0 
 01/04  23:00:00,8643951.519120457,8643951.519120455,0.0 
 01/04  24:00:00,6297449.08321209,6297449.08321209,0.0 
 01/05  01:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  02:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  03:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  04:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  05:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  06:00:00,8569604.825749658,8569604.825749658,0.0 
 01/05  07:00:00,18939039.160956883,18939039.160956883,0.0 
 01/05  08:00:00,23071537.561072723,23071537.561072723,0.0 
 01/05  09:00:00,29686905.968155654,29686905.968155654,0.0 
 01/05  10:00:00,29658088.562996907,29658088.56299691,0.0 
 01/05  11:00:00,30532545.840015845,30532545.840015837,0.0 
 01/05  12:00:00,31421336.978372709,31421336.978372709,0.0 
 01/05  13:00:00,29198742.024963008,29198742.024963008,0.0 
 01/05  14:00:00,33662989.238711129,33662989.23871112,0.0 
 01/05  15:00:00,34302186.2179167,34302186.2179167,0.0 
 01/05  16:00:00,34567030.84268024,34567030.84268024,0.0 
 01/05  17:00:00,34551407.72412508,34551407.72412509,0.0 
 01/05  18:00:00,23510285.365883605,23510285.365883605,0.0 
