Time,CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,5.835668E+02,2.739948E+03,3.029572E-02,2.420997E-01,1.154466E+03,2.371909E+03,5.993266E-02,2.095699E-01,7.554441E+02,1.460778E+03,3.921785E-02,1.290661E-01,1.223980E+03,2.377554E+03,6.354139E-02,2.100686E-01,7.578323E+02,1.537515E+03,3.934183E-02,1.358460E-01
00:20:00,5.835674E+02,2.733016E+03,3.029575E-02,2.414873E-01,1.154469E+03,2.358145E+03,5.993279E-02,2.083538E-01,7.554457E+02,1.451306E+03,3.921793E-02,1.282292E-01,1.223983E+03,2.363134E+03,6.354151E-02,2.087946E-01,7.578339E+02,1.524478E+03,3.934191E-02,1.346942E-01
00:30:00,5.835679E+02,2.726300E+03,3.029578E-02,2.408939E-01,1.154471E+03,2.344779E+03,5.993292E-02,2.071729E-01,7.554472E+02,1.442107E+03,3.921801E-02,1.274165E-01,1.223985E+03,2.349162E+03,6.354163E-02,2.075601E-01,7.578354E+02,1.511971E+03,3.934199E-02,1.335892E-01
00:40:00,5.835684E+02,2.719783E+03,3.029580E-02,2.403180E-01,1.154474E+03,2.331789E+03,5.993303E-02,2.060252E-01,7.554486E+02,1.433168E+03,3.921808E-02,1.266267E-01,1.223987E+03,2.335613E+03,6.354174E-02,2.063630E-01,7.578368E+02,1.499955E+03,3.934206E-02,1.325275E-01
00:50:00,5.835689E+02,2.713448E+03,3.029583E-02,2.397583E-01,1.154476E+03,2.319155E+03,5.993314E-02,2.049089E-01,7.554499E+02,1.424475E+03,3.921815E-02,1.258586E-01,1.223989E+03,2.322462E+03,6.354185E-02,2.052011E-01,7.578381E+02,1.488395E+03,3.934213E-02,1.315062E-01
01:00:00,5.835694E+02,2.707284E+03,3.029585E-02,2.392137E-01,1.154478E+03,2.306859E+03,5.993325E-02,2.038225E-01,7.554511E+02,1.416015E+03,3.921821E-02,1.251112E-01,1.223991E+03,2.309688E+03,6.354194E-02,2.040725E-01,7.578393E+02,1.477261E+03,3.934219E-02,1.305224E-01
01:10:00,5.835698E+02,2.701280E+03,3.029588E-02,2.386832E-01,1.154480E+03,2.294941E+03,5.993334E-02,2.027695E-01,7.554523E+02,1.407815E+03,3.921827E-02,1.243867E-01,1.223993E+03,2.297335E+03,6.354203E-02,2.029810E-01,7.578404E+02,1.466563E+03,3.934225E-02,1.295772E-01
01:20:00,5.835703E+02,2.695425E+03,3.029590E-02,2.381659E-01,1.154481E+03,2.283387E+03,5.993343E-02,2.017487E-01,7.554533E+02,1.399866E+03,3.921832E-02,1.236844E-01,1.223995E+03,2.285387E+03,6.354212E-02,2.019253E-01,7.578415E+02,1.456276E+03,3.934230E-02,1.286683E-01
01:30:00,5.835707E+02,2.689713E+03,3.029592E-02,2.376612E-01,1.154483E+03,2.272189E+03,5.993352E-02,2.007592E-01,7.554543E+02,1.392161E+03,3.921838E-02,1.230036E-01,1.223996E+03,2.273832E+03,6.354220E-02,2.009044E-01,7.578425E+02,1.446381E+03,3.934235E-02,1.277941E-01
01:40:00,5.835711E+02,2.684137E+03,3.029594E-02,2.371686E-01,1.154485E+03,2.261337E+03,5.993360E-02,1.998004E-01,7.554553E+02,1.384694E+03,3.921842E-02,1.223438E-01,1.223998E+03,2.262661E+03,6.354227E-02,1.999174E-01,7.578435E+02,1.436860E+03,3.934240E-02,1.269529E-01
