Time,PSZ-AC:1:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Heat Cap [W],PSZ-AC:1:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:1:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Heat Cap [W],PSZ-AC:1:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:1:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:1:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Heat Cap [W],PSZ-AC:2:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:2:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Heat Cap [W],PSZ-AC:2:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:2:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:2:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Heat Cap [W],PSZ-AC:3:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:3:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Heat Cap [W],PSZ-AC:3:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:3:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:3:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Heat Cap [W],PSZ-AC:4:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:4:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Heat Cap [W],PSZ-AC:4:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:4:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:4:DesPer 2:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 1:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Heat Cap [W],PSZ-AC:5:DesPer 1:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 1:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 1:Des Tot Cool Cap [W],PSZ-AC:5:DesPer 2:Des Heat Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Heat Cap [W],PSZ-AC:5:DesPer 2:Des Cool Mass Flow [kg/s],PSZ-AC:5:DesPer 2:Des Sens Cool Cap [W],PSZ-AC:5:DesPer 2:Des Tot Cool Cap [W]
00:10:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,7.691932E+02,2.917195E-01,3.691625E+03,3.593512E+03,9.220250E-02,2.923894E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.830983E+02,2.565675E-01,3.193323E+03,3.035833E+03,5.828386E-02,1.802604E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.459014E+02,1.577495E-01,1.956176E+03,1.858125E+03,9.245158E-02,2.928622E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.830983E+02,2.567033E-01,3.194837E+03,3.037369E+03,5.832781E-02,1.803438E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.459014E+02,1.661933E-01,2.050268E+03,1.955622E+03
00:20:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,7.791847E+02,2.909562E-01,3.673128E+03,3.574429E+03,9.220263E-02,2.923897E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.906725E+02,2.548990E-01,3.167157E+03,3.008748E+03,5.828395E-02,1.802605E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.503945E+02,1.566286E-01,1.939193E+03,1.840562E+03,9.245171E-02,2.928625E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.906725E+02,2.550013E-01,3.168297E+03,3.009899E+03,5.832789E-02,1.803439E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.503945E+02,1.646917E-01,2.029042E+03,1.933692E+03
00:30:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,7.891762E+02,2.902157E-01,3.654886E+03,3.555609E+03,9.220275E-02,2.923899E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.982466E+02,2.532766E-01,3.141504E+03,2.982190E+03,5.828402E-02,1.802607E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.548876E+02,1.555390E-01,1.922558E+03,1.823356E+03,9.245183E-02,2.928627E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,5.982466E+02,2.533500E-01,3.142323E+03,2.983011E+03,5.832796E-02,1.803441E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.548876E+02,1.632484E-01,2.008467E+03,1.912430E+03
00:40:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,7.991676E+02,2.894964E-01,3.636880E+03,3.537031E+03,9.220286E-02,2.923901E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.058208E+02,2.516979E-01,3.116338E+03,2.956134E+03,5.828409E-02,1.802608E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.593807E+02,1.544789E-01,1.906253E+03,1.806490E+03,9.245194E-02,2.928629E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.058208E+02,2.517468E-01,3.116884E+03,2.956673E+03,5.832804E-02,1.803442E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.593807E+02,1.618595E-01,1.988497E+03,1.891790E+03
00:50:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.091591E+02,2.887967E-01,3.619092E+03,3.518678E+03,9.220296E-02,2.923903E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.133950E+02,2.501609E-01,3.091637E+03,2.930558E+03,5.828416E-02,1.802609E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.638738E+02,1.534472E-01,1.890263E+03,1.789948E+03,9.245204E-02,2.928631E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.133950E+02,2.501892E-01,3.091952E+03,2.930860E+03,5.832810E-02,1.803443E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.638738E+02,1.605213E-01,1.969091E+03,1.871731E+03
01:00:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.191506E+02,2.881152E-01,3.601506E+03,3.500536E+03,9.220306E-02,2.923905E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.209692E+02,2.486638E-01,3.067380E+03,2.905444E+03,5.828422E-02,1.802610E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.683669E+02,1.524425E-01,1.874574E+03,1.773719E+03,9.245214E-02,2.928633E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.209692E+02,2.486749E-01,3.067504E+03,2.905550E+03,5.832816E-02,1.803444E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.683669E+02,1.592306E-01,1.950215E+03,1.852220E+03
01:10:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.258116E+02,2.874508E-01,3.587442E+03,3.485971E+03,9.220315E-02,2.923907E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.260186E+02,2.472139E-01,3.046175E+03,2.883448E+03,5.828428E-02,1.802611E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.713623E+02,1.514693E-01,1.860734E+03,1.759379E+03,9.245223E-02,2.928635E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.260186E+02,2.472112E-01,3.046145E+03,2.883397E+03,5.832822E-02,1.803446E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.713623E+02,1.579901E-01,1.933398E+03,1.834813E+03
01:20:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.324726E+02,2.868026E-01,3.573558E+03,3.471593E+03,9.220324E-02,2.923908E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.310681E+02,2.458098E-01,3.025480E+03,2.861981E+03,5.828433E-02,1.802612E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.743577E+02,1.505266E-01,1.847234E+03,1.745391E+03,9.245231E-02,2.928636E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.310681E+02,2.457965E-01,3.025331E+03,2.861809E+03,5.832828E-02,1.803447E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.743577E+02,1.567975E-01,1.917112E+03,1.817954E+03
01:30:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.391335E+02,2.861698E-01,3.559846E+03,3.457393E+03,9.220332E-02,2.923910E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.361176E+02,2.444507E-01,3.005285E+03,2.841031E+03,5.828439E-02,1.802613E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.773531E+02,1.496139E-01,1.834068E+03,1.731746E+03,9.245239E-02,2.928638E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.361176E+02,2.444296E-01,3.005050E+03,2.840771E+03,5.832833E-02,1.803448E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.773531E+02,1.556506E-01,1.901336E+03,1.801620E+03
01:40:00,7.476063E-02,2.967393E+03,7.476063E-02,0.000000E+00,0.000000E+00,7.476063E-02,8.457945E+02,2.855519E-01,3.546300E+03,3.443368E+03,9.220339E-02,2.923911E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.411670E+02,2.431359E-01,2.985585E+03,2.820592E+03,5.828444E-02,1.802614E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.803485E+02,1.487306E-01,1.821231E+03,1.718441E+03,9.245247E-02,2.928639E+03,5.667340E-02,0.000000E+00,0.000000E+00,5.667340E-02,6.411670E+02,2.431097E-01,2.985293E+03,2.820275E+03,5.832838E-02,1.803449E+03,3.361939E-02,0.000000E+00,0.000000E+00,3.361939E-02,3.803485E+02,1.545476E-01,1.886051E+03,1.785792E+03
