Date/Time,Electricity:Facility [J](Hourly),ElectricityNet:Facility [J](Hourly),Gas:Facility [J](Hourly) 
 12/21  01:00:00,20032358.80903708,20032358.809037076,3387729.272108702 
 12/21  02:00:00,19037645.697645219,19037645.697645215,919509.3899313499 
 12/21  03:00:00,20639709.22005771,20639709.22005771,1871364.7300700797 
 12/21  04:00:00,19108427.89207293,19108427.892072929,942142.4070199278 
 12/21  05:00:00,20657186.865460256,20657186.865460248,1888576.903069351 
 12/21  06:00:00,19110003.305003667,19110003.305003667,945240.0367201965 
 12/21  07:00:00,21840217.715471247,21840217.715471247,1891228.7604687759 
 12/21  08:00:00,18617590.43860144,18617590.43860144,773610.9982917484 
 12/21  09:00:00,18947458.446778228,18947458.446778228,1541242.148979594 
 12/21  10:00:00,17495842.136009627,17495842.136009627,769351.4707504462 
 12/21  11:00:00,18948719.512261698,18948719.512261698,1537740.7176855053 
 12/21  12:00:00,17501727.616924086,17501727.61692409,768613.4038212261 
 12/21  13:00:00,18962500.54912423,18962500.549124227,1536947.3920833758 
 12/21  14:00:00,17515562.174287756,17515562.174287756,768377.0085029646 
 12/21  15:00:00,18968037.17764688,18968037.17764688,1536615.6302070539 
 12/21  16:00:00,17515319.127251224,17515319.127251224,768246.9005587639 
 12/21  17:00:00,18971561.81237249,18971561.81237249,1536387.2877025058 
 12/21  18:00:00,19350575.687237927,19350575.687237923,768149.0576849913 
 12/21  19:00:00,21868760.891149399,21868760.891149399,1775280.5000168114 
 12/21  20:00:00,19509205.252398284,19509205.25239828,943800.5924136778 
 12/21  21:00:00,21057386.83581272,21057386.835812719,1890986.0015000317 
 12/21  22:00:00,19511850.02509418,19511850.02509418,946167.66988005 
 12/21  23:00:00,21048265.065694035,21048265.06569403,1892753.2794398755 
 12/21  24:00:00,19501235.44675424,19501235.44675424,946451.4711823847 
 07/21  01:00:00,42835568.74903869,42835568.7490387,0.0 
 07/21  02:00:00,40869919.3768421,40869919.376842107,0.0 
 07/21  03:00:00,42377701.3556118,42377701.3556118,0.0 
 07/21  04:00:00,40387196.28822905,40387196.28822905,0.0 
 07/21  05:00:00,42993998.465536978,42993998.465536978,0.0 
 07/21  06:00:00,40351383.7299935,40351383.7299935,0.0 
 07/21  07:00:00,48495448.269769597,48495448.26976959,0.0 
 07/21  08:00:00,48250252.58982653,48250252.58982653,0.0 
 07/21  09:00:00,50116629.4174299,50116629.41742991,0.0 
 07/21  10:00:00,52164932.471959758,52164932.47195978,0.0 
 07/21  11:00:00,53982579.188006978,53982579.18800698,0.0 
 07/21  12:00:00,55441662.3437425,55441662.34374251,0.0 
 07/21  13:00:00,56888512.50718829,56888512.5071883,0.0 
 07/21  14:00:00,57794495.33798943,57794495.337989438,0.0 
 07/21  15:00:00,58612318.82354784,58612318.82354784,0.0 
 07/21  16:00:00,58887929.41391302,58887929.41391302,0.0 
 07/21  17:00:00,58174735.92225408,58174735.92225409,0.0 
 07/21  18:00:00,57141825.62311038,57141825.62311038,0.0 
 07/21  19:00:00,56138849.70836538,56138849.708365399,0.0 
 07/21  20:00:00,49174975.58187175,49174975.58187175,0.0 
 07/21  21:00:00,45682611.735635127,45682611.735635127,0.0 
 07/21  22:00:00,47729378.14929736,47729378.14929736,0.0 
 07/21  23:00:00,42869544.17320585,42869544.17320585,0.0 
 07/21  24:00:00,44211740.42823483,44211740.42823483,0.0 
 01/01  01:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  02:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  03:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  04:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  05:00:00,5504338.596677196,5504338.596677196,0.0 
 01/01  06:00:00,5504338.596677196,5504338.596677196,0.0 
