Time,CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],CORE_ZN:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_1:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_2:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_3:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],PERIMETER_ZN_4:TUCSON-DAVIS-MONTHAN.AFB_AZ_USA ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:10:00,6.856185E+02,2.774471E+03,3.559371E-02,2.451500E-01,1.972101E+03,2.507521E+03,1.023791E-01,2.215517E-01,1.208176E+03,1.540721E+03,6.272081E-02,1.361293E-01,1.869080E+03,2.504601E+03,9.703092E-02,2.212936E-01,1.199774E+03,1.632632E+03,6.228461E-02,1.442499E-01
00:20:00,6.856190E+02,2.766703E+03,3.559373E-02,2.444637E-01,1.972102E+03,2.488171E+03,1.023792E-01,2.198420E-01,1.208177E+03,1.528035E+03,6.272086E-02,1.350085E-01,1.869082E+03,2.485377E+03,9.703101E-02,2.195951E-01,1.199775E+03,1.616052E+03,6.228467E-02,1.427850E-01
00:30:00,6.856195E+02,2.759158E+03,3.559376E-02,2.437971E-01,1.972104E+03,2.469336E+03,1.023793E-01,2.181778E-01,1.208178E+03,1.515691E+03,6.272091E-02,1.339179E-01,1.869083E+03,2.466706E+03,9.703109E-02,2.179455E-01,1.199776E+03,1.600083E+03,6.228472E-02,1.413741E-01
00:40:00,6.856199E+02,2.751819E+03,3.559378E-02,2.431486E-01,1.972105E+03,2.450995E+03,1.023793E-01,2.165573E-01,1.208179E+03,1.503675E+03,6.272096E-02,1.328562E-01,1.869085E+03,2.448562E+03,9.703116E-02,2.163423E-01,1.199777E+03,1.584684E+03,6.228477E-02,1.400135E-01
00:50:00,6.856203E+02,2.744671E+03,3.559380E-02,2.425170E-01,1.972106E+03,2.433128E+03,1.023794E-01,2.149787E-01,1.208180E+03,1.491974E+03,6.272101E-02,1.318223E-01,1.869086E+03,2.430920E+03,9.703123E-02,2.147836E-01,1.199778E+03,1.569822E+03,6.228481E-02,1.387004E-01
01:00:00,6.856207E+02,2.737702E+03,3.559382E-02,2.419013E-01,1.972108E+03,2.415719E+03,1.023795E-01,2.134406E-01,1.208181E+03,1.480576E+03,6.272105E-02,1.308153E-01,1.869088E+03,2.413761E+03,9.703130E-02,2.132676E-01,1.199778E+03,1.555465E+03,6.228486E-02,1.374319E-01
01:10:00,6.856211E+02,2.730900E+03,3.559384E-02,2.413003E-01,1.972109E+03,2.398875E+03,1.023795E-01,2.119523E-01,1.208182E+03,1.469544E+03,6.272109E-02,1.298406E-01,1.869089E+03,2.397183E+03,9.703136E-02,2.118029E-01,1.199779E+03,1.541661E+03,6.228490E-02,1.362123E-01
01:20:00,6.856215E+02,2.724259E+03,3.559386E-02,2.407135E-01,1.972110E+03,2.382589E+03,1.023796E-01,2.105134E-01,1.208182E+03,1.458873E+03,6.272113E-02,1.288978E-01,1.869090E+03,2.381179E+03,9.703142E-02,2.103888E-01,1.199780E+03,1.528390E+03,6.228493E-02,1.350398E-01
01:30:00,6.856218E+02,2.717772E+03,3.559388E-02,2.401404E-01,1.972111E+03,2.366855E+03,1.023796E-01,2.091233E-01,1.208183E+03,1.448558E+03,6.272117E-02,1.279864E-01,1.869091E+03,2.365739E+03,9.703148E-02,2.090246E-01,1.199781E+03,1.515634E+03,6.228497E-02,1.339128E-01
01:40:00,6.856221E+02,2.711436E+03,3.559389E-02,2.395805E-01,1.972112E+03,2.351670E+03,1.023797E-01,2.077816E-01,1.208184E+03,1.438595E+03,6.272120E-02,1.271061E-01,1.869092E+03,2.350856E+03,9.703153E-02,2.077097E-01,1.199781E+03,1.503378E+03,6.228501E-02,1.328299E-01
